MANUFACTURER	MODEL	PUMP	VENTING TYPE	CAPACITY RANGE	CAPACITY RANGE	CAPACITY AT 45 RISE	BTU/HR INPUT	ENERGY FACTOR	THERMAL EFFICIENCY	WIDTH	HEIGHT	DEPTH	OPERATING WEIGHT	WATER CONN	GAS CONN	COMBUSTION AIR	EXHAUST AIR	ELECTRIC SUPPLY	ELECTRIC POWER	
RINNAI	CU160e	recirc pump	standard	0.26	8	6.8	160000	0.93		18.5	26.4	11.4	62	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	49	https://manuals.totalhomesupply.com/wp-content/uploads/manuals/CU199-160e-Spec-Sheet.pdf
RINNAI	CU160i	external	direct vent-dual	0.26	8	6.8	160000	0.93		18.5	26.4	11.4	62	0.75	0.5	2 or 3	2 or 3	120V / 1PH/ 60 HZ	52	https://media.rinnai.us/salsify_asset/s-81177843-4528-4619-b07f-7dea5a9ddb5f/CUi-SP-N%20Series%20Condensing%20Commercial%20Indoor%20Spec%20Sheet.pdf?_ga=2.155739323.1447719390.1631144078-1960659658.1631144078
RINNAI	CU199e	recirc pump	standard	0.26	9.8	8.4	199000	0.93		18.5	26.4	11.4	64	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	81	https://media.rinnai.us/salsify_asset/s-3c42412c-338d-482a-ad37-80e3485483a7/CUe-SP-N%20Series%20Condensing%20Commercial%20Outdoor%20Spec%20Sheet.pdf?_ga=2.122183691.1447719390.1631144078-1960659658.1631144078
RINNAI	CU199i	external	direct vent-dual	0.26	9.8	8.4	199000	0.93		18.5	26.4	11.4	64	0.75	0.5	2 or 3 	2 or 3	120V / 1PH/ 60 HZ	84	https://manuals.totalhomesupply.com/wp-content/uploads/manuals/CU199-160i-Spec-Sheet-1.pdf
RINNAI	RL75e	recirc pump	standard	0.26	7.5	6.6	180000	0.81		14.04	22.95	9.27	43.6	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	57	https://www.rinnai.us/product/tankless-water-heater/rl75en
RINNAI	RL75i	external	direct vent	0.26	7.5	6.6	180000	0.81		14.04	22.95	9.27	45.6	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	76	https://www.rinnai.us/product/tankless-water-heater/rl75in
RINNAI	RL94e	recirc pump	standard	0.26	9.8	7.2	199000	0.81		14.04	22.95	9.27	44.3	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	65	https://www.rinnai.us/product/tankless-water-heater/rl94en
RINNAI	RL94i	external	direct vent	0.26	9.8	7.2	199000	0.81		14.04	22.95	9.27	46.3	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	97	https://www.rinnai.us/residential/product-detail/rl94in
RINNAI	RLX94i	recirc pump	direct vent	0.26	9.8	7.2	192000	0.82		14.04	22.95	9.27	46.3	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	97	https://www.rinnai.us/product/tankless-water-heater/rlx94in
RINNAI	RU130e	external	standard	0.26	7	5.5	130000	0.95		18.5	26.4	11.4	62	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	36	https://www.rinnai.us/product/tankless-water-heater/ru130en
